Drug MW (Dalton),Edge activator (HLB),Edge activator loading,Phospholipid Lipid  loading,Phosopholipid Type,Permeation time (hour),sonication time,solvent ratio chloroform (%),hydration time,Cholesterol,Drug loading (EE%),Vesicular  Size (nm),Vesicles zeta potential (mV),Drug released percentage
575.85,15.0,7.5,25.0,phospholipon® 90G,15.91,2.0,67,150,0,6.166,2138.0,-6.08,
575.85,15.0,30.0,25.0,phospholipon® 90G,15.91,2.0,67,150,0,97.684,1582.333,-3.07,
575.85,15.0,30.0,100.0,phospholipon® 90G,15.91,2.0,67,150,0,34.541,695.366,-3.056,
575.85,15.0,7.5,100.0,phospholipon® 90G,15.91,2.0,67,150,0,97.694,1333.0,-2.133,
575.85,15.0,30.0,50.0,phospholipon® 90G,15.91,2.0,67,150,0,92.593,579.033,-6.44,
575.85,15.0,15.0,50.0,phospholipon® 90G,15.91,2.0,67,150,0,94.744,856.5,-3.44,
387.7,16.7,15.0,100.0,phospholipon®90H,24.0,15.0,67,60,1,72.55,130.42,-19.46,
387.7,16.7,45.0,100.0,phospholipon®90H,24.0,15.0,67,60,1,44.47,331.43,-26.14,
387.7,16.7,30.0,50.0,phospholipon®90H,24.0,15.0,67,60,1,88.12,223.35,-18.84,
387.7,16.7,45.0,50.0,phospholipon®90H,24.0,15.0,67,60,1,93.89,171.41,-20.73,
387.7,16.7,30.0,100.0,phospholipon®90H,24.0,15.0,67,60,1,44.86,263.85,-14.02,
387.7,16.7,30.0,150.0,phospholipon®90H,24.0,15.0,67,60,1,64.11,109.42,-0.14,
387.7,16.7,15.0,150.0,phospholipon®90H,24.0,15.0,67,60,1,80.89,169.82,-0.87,
387.7,16.7,45.0,150.0,phospholipon®90H,24.0,15.0,67,60,1,53.05,272.92,-23.44,
387.7,16.7,15.0,5.0,phospholipon®90H,24.0,15.0,67,60,1,88.12,207.62,-19.34,
575.85,8.6,280.0,2500.0,Phosphatidylcholine,8.0,30.0,50,60,1,97.0,442.9,,182.91
575.85,16.7,990.0,2500.0,Phosphatidylcholine,8.0,30.0,50,60,1,,269.2,,205.93
575.85,15.0,30.0,70.0,phospholipon®90H,12.0,15.41,40,60,0,47.8,211.0,-25.9,72.0
575.85,15.0,25.0,75.0,phospholipon®90H,12.0,15.41,40,60,0,88.4,217.0,-31.5,97.0
575.85,15.0,10.0,90.0,phospholipon®90H,12.0,15.41,40,60,0,67.7,306.0,-21.5,80.0
575.85,4.3,15.0,85.0,phosphatidylcholine egg yolk,15.91,0.0,0,120,0,91.53,346.4,-4.13,
575.85,4.3,15.0,85.0,phosphatidylcholine egg yolk,15.91,0.0,0,120,0,97.94,434.1,-3.31,
575.85,7.0,15.0,85.0,phosphatidylcholine egg yolk,15.91,0.0,0,120,0,91.37,505.0,-4.64,
575.85,9.7,15.0,85.0,phosphatidylcholine egg yolk,15.91,0.0,0,120,0,91.05,622.96,-4.63,
575.85,12.3,15.0,85.0,phosphatidylcholine egg yolk,15.91,0.0,0,120,0,90.33,736.4,-4.29,
575.85,15.0,15.0,85.0,phosphatidylcholine egg yolk,15.91,0.0,0,120,0,91.11,882.73,-4.04,
575.85,15.0,5.0,95.0,phosphatidylcholine egg yolk,15.91,0.0,0,120,0,91.92,780.0,-5.04,
575.85,15.0,10.0,90.0,phosphatidylcholine egg yolk,15.91,0.0,0,120,0,92.47,816.67,-5.3,
575.85,15.0,20.0,80.0,phosphatidylcholine egg yolk,15.91,0.0,0,120,0,92.03,956.33,-5.22,
209.25,15.0,3.0,30.0,phospholipon® 90G,15.91,2.0,0,5,0,78.8,148.0,,
209.25,18.0,3.0,30.0,phospholipon® 90G,15.91,2.0,0,5,0,78.8,274.4,,
209.25,4.3,3.0,30.0,phospholipon® 90G,15.91,2.0,0,5,0,78.4,364.2,,
209.25,17.0,3.0,30.0,phospholipon® 90G,24.0,2.0,0,5,0,77.0,350.7,,
575.85,4.3,15.0,50.0,phospholipon® 90G,24.0,10.0,40,150,0,76.45,,,
575.85,4.3,22.5,70.0,phospholipon® 90G,24.0,10.0,40,150,0,95.58,,,
575.85,4.3,22.5,50.0,phospholipon® 90G,24.0,30.0,40,150,0,66.34,,,
575.85,4.3,30.0,50.0,phospholipon® 90G,24.0,10.0,40,150,0,65.23,,,
575.85,4.3,15.0,50.0,phospholipon® 90G,24.0,20.0,40,150,0,84.65,,,
575.85,4.3,30.0,70.0,phospholipon® 90G,24.0,20.0,40,150,0,80.76,,,
575.85,4.3,22.5,30.0,phospholipon® 90G,24.0,30.0,40,150,0,65.23,,,
575.85,4.3,15.0,50.0,phospholipon® 90G,24.0,20.0,40,150,0,73.87,,,
575.85,4.3,22.5,50.0,phospholipon® 90G,24.0,10.0,40,150,0,81.33,,,
575.85,4.3,22.5,50.0,phospholipon® 90G,24.0,20.0,40,150,0,71.23,,,
575.85,4.3,22.5,50.0,phospholipon® 90G,24.0,20.0,40,150,0,72.32,,,
575.85,4.3,22.5,30.0,phospholipon® 90G,24.0,20.0,40,150,0,63.76,,,
