Drug MW (Dalton),DRUG (Log P),Edge activator (HLB),Edge activator loading,Phospholipid Lipid  loading,Phosopholipid Type,Permeation time (hour),sonication time,solvent ratio chloroform (%),hydration time,Cholesterol ,Drug loading (EE%),Vesicular  Size (nm),Vesicles zeta potential (mV),Drug released percentage,,,,,,,,,,
384.2 ,3.86,4.7,20,180,phosphatidylcholine egg yolk,8,2,33,0,0,67.8,652.3,-38,58.1,,,,,,,,,,
384.2 ,3.86,16.7,10,190,phosphatidylcholine egg yolk,8,2,33,0,1,66.5,635.7,-39,56.2,,,,,,,,,,
384.2 ,3.86,18,10,190,phosphatidylcholine egg yolk,8,2,33,0,1,75.7,652.3,-35,63.3,,,,,,,,,,
384.2 ,3.86,15,29,171,phosphatidylcholine egg yolk,8,2,33,0,1,66.5,449,-32,59.5,,,,,,,,,,
384.2 ,3.86,4.7,10,190,phosphatidylcholine egg yolk,8,2,33,0,1,64.5,473.2,-31,54.6,,,,,,,,,,
384.2 ,3.86,16.7,19,181,phosphatidylcholine egg yolk,8,2,33,0,1,71.4,447.3,-35,73.7,,,,,,,,,,
384.2 ,3.86,20,10,180,phosphatidylcholine egg yolk,8,2,33,0,1,68.1,426,-40,71.5,,,,,,,,,,
384.2 ,3.86,50.5,29,149.5,phosphatidylcholine egg yolk,8,2,33,0,1,68.2,528,-34,57.2,,,,,,,,,,
384.2 ,3.86,4.7,20,180,phosphatidylcholine egg yolk,8,2,33,0,1,69.1,950.5,-33,51.2,,,,,,,,,,
594.52,3.26,15,35,100,Phospholipid 90G,6,15,100,270,0,81.23,,,25.38,,,,,,,,,,
594.52,3.26,15,35,300,Phospholipid 90G,6,35,100,270,0,84.57,,,26.43,,,,,,,,,,
594.52,3.26,15,55,300,Phospholipid 90G,6,25,100,270,0,79.89,,,24.97,,,,,,,,,,
594.52,3.26,15,15,100,Phospholipid 90G,6,25,100,270,0,78.45,,,24.52,,,,,,,,,,
594.52,3.26,15,35,300,Phospholipid 90G,6,15,100,270,0,85.81,,,26.82,,,,,,,,,,
594.52,3.26,15,15,200,Phospholipid 90G,6,15,100,270,0,80.67,,,25.21,,,,,,,,,,
594.52,3.26,15,55,200,Phospholipid 90G,6,35,100,270,0,78.97,,,24.65,,,,,,,,,,
594.52,3.26,15,35,100,Phospholipid 90G,6,35,100,270,0,80.39,,,25.12,,,,,,,,,,
594.52,3.26,15,35,200,Phospholipid 90G,6,25,100,270,0,79.25,,,24.76,,,,,,,,,,
594.52,3.26,15,35,200,Phospholipid 90G,6,25,100,270,0,79.45,,,24.67,,,,,,,,,,
594.52,3.26,15,35,200,Phospholipid 90G,6,25,100,270,0,78.8,,,24.62,,,,,,,,,,
594.52,3.26,15,15,300,Phospholipid 90G,6,25,100,270,0,83.72,,,26.16,,,,,,,,,,
594.52,3.26,15,55,200,Phospholipid 90G,6,15,100,270,0,79.4,,,24.81,,,,,,,,,,
594.52,3.26,15,55,100,Phospholipid 90G,6,25,100,270,0,77.29,,,24.15,,,,,,,,,,
594.52,3.26,15,15,200,Phospholipid 90G,6,35,100,270,0,79.92,,,24.97,,,,,,,,,,
375.8,3.08,16.7,50,50,Phosphatidylcholine,,15,50,240,1,58.1,255,-50.8,,,,,,,,,,,
375.8,3.08,16.7,25,50,Phosphatidylcholine,,15,50,240,1,27.6,68.06,-66.4,,,,,,,,,,,
375.8,3.08,16.7,100,50,Phosphatidylcholine,,15,50,240,1,71.86,220.2,-33.4,,,,,,,,,,,
375.8,3.08,4.7,50,50,Phosphatidylcholine,,15,50,240,1,46.23,105.7,-71.5,,,,,,,,,,,
375.8,3.08,4.7,25,50,Phosphatidylcholine,,15,50,240,1,34.87,531.2,-80,,,,,,,,,,,
375.8,3.08,4.7,100,50,Phosphatidylcholine,,15,50,240,1,53.19,396.1,-69,,,,,,,,,,,
375.8,3.08,16.9,50,50,Phosphatidylcholine,,15,50,240,1,25.68,440.8,-24.7,,,,,,,,,,,
375.8,3.08,16.9,25,50,Phosphatidylcholine,,15,50,240,1,28.6,447.9,-20.5,,,,,,,,,,,
375.8,3.08,16.9,100,50,Phosphatidylcholine,,15,50,240,1,18.29,144.1,-29.2,,,,,,,,,,,
226.23,,15,50,200,Phosphatidylcholine,,15,0,60,0,90.98,158,-43.51,,,,,,,,,,,
6700,,15,10,90,Phosphatidylcholine,24,15,50,60,0,54.1,214.26,-13.97,,,,,,,,,,,
6700,,15,20,80,Phosphatidylcholine,24,15,50,60,0,60.5,233.23,-15.46,,,,,,,,,,,
458.372,3.08,16.7,1,100,Phosphatidylcholine,24,5,0,0,0,76.11,174.2,-19.13,84.09,,,,,,,,,,
176.12,-1.6,16.7,1,100,Phosphatidylcholine,24,5,0,0,0,76.11,174.2,-19.13,88.43,,,,,,,,,,
,,15,5,95,Phosphatidylcholine,,5,33,15,0,57.5,302,-39,,,,,,,,,,,
,,15,15,85,Phosphatidylcholine,,5,33,15,0,62,295,-39.2,,,,,,,,,,,
,,15,20,80,Phosphatidylcholine,,5,33,15,0,79.4,288,-40.2,,,,,,,,,,,
,,15,25,75,Phosphatidylcholine,,5,33,15,0,70.5,270,-35.6,,,,,,,,,,,
,,4.3,5,95,Phosphatidylcholine,,5,33,15,0,42.5,345,-38.2,,,,,,,,,,,
,,4.3,15,85,Phosphatidylcholine,,5,33,15,0,78,330,-35.2,,,,,,,,,,,
,,4.3,20,80,Phosphatidylcholine,,5,33,15,0,90.01,295,-43.3,99,,,,,,,,,,
,,4.3,25,75,Phosphatidylcholine,,5,33,15,0,77.03,275,-36.2,,,,,,,,,,,
,,16.7,5,95,Phosphatidylcholine,,5,33,15,0,59.01,300,-41.1,,,,,,,,,,,
,,16.7,15,85,Phosphatidylcholine,,5,33,15,0,70.01,290,-19.3,,,,,,,,,,,
,,16.7,20,80,Phosphatidylcholine,,5,33,15,0,76.7,285,-28.9,,,,,,,,,,,
,,16.7,25,75,Phosphatidylcholine,,5,33,15,0,68.14,265,-35,,,,,,,,,,,
5808,,20,25,100,Phosphatidylcholine,,2,75,180,0,65,256,12.8,,,,,,,,,,,
331.346,-0.57,15,60,300,Phosphatidylcholine,10,0,33,60,0,85.55,153,-39.15,63,,,,,,,,,,
331.346,-0.57,15,120,300,Phosphatidylcholine,,0,33,60,0,82.05,125.42,-35.35,,,,,,,,,,,
331.346,-0.57,15,180,300,Phosphatidylcholine,,0,33,60,0,79.27,120.4,-22.91,,,,,,,,,,,
331.346,-0.57,15,240,300,Phosphatidylcholine,,0,33,60,0,74.95,111.42,-20.21,,,,,,,,,,,
331.346,-0.57,15,300,300,Phosphatidylcholine,10,0,33,60,0,71.05,94.69,-13.12,89,,,,,,,,,,
